titre,description,date_debut,date_fin,lieu,prix,niveau
,"Un stage exceptionnel alliant danse et ski dans un cadre magnifique. Minimum 2 heures de cours par jour, soirées dansantes, accès piscine, jacuzzi et sauna.",,,,,
,"Stage de danse avec accès direct à la plage. 2 niveaux de cours, hébergement tout confort.",,,,,
,"Stage multidanse avec programme personnalisé. 5 salles, 6 professeurs, cours pour tous les niveaux du débutant au niveau 3.",,,,,
,"Stage d'automne en Touraine. 2 salles, 2 professeurs, ambiance conviviale.",,,,,
